Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 007,Cecily Brown,Girl Trouble,36.76,83.8%,03/31/22,"1,750",50,35.0,5.028571428571423
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,"45,600","2,280",20.0,4.949999999999992
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,140.04,6,23.34,4.927163667523558
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,999.50,50,19.99,4.902451225612809
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,99.95,5,19.99,4.902451225612809
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,199.90,10,19.99,4.902451225612809
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,499.75,25,19.99,4.902451225612809
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"1,035",50,20.7,4.830917874396135
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,103.50,5,20.7,4.830917874396135
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,932.40,45,20.72,4.7297297297297325
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"6,247.50",250,24.99,4.401760704281719
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,625,25,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"2,500",100,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"25,000","1,000",25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,125,5,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"3,750",150,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,625,25,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,125,5,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"1,250",50,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,500,20,25.0,4.359999999999999
Masterworks 036,Jean-Michel Basquiat,Untitled (Bracco di Ferro),26.09,30.5%,03/31/22,"3,125",125,25.0,4.359999999999999
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,208,10,20.8,4.3269230769230695
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,187.92,8,23.49,4.2997020008514335
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,470,20,23.5,4.25531914893617
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,235,10,23.5,4.25531914893617
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,117.50,5,23.5,4.170212765957448
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,975,30,32.5,3.907692307692318
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,"3,250",100,32.5,3.907692307692318
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,"11,500",500,23.0,3.782608695652178
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,111.45,5,22.29,3.76850605652759
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,223,10,22.3,3.7219730941703957
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,999,50,19.98,3.4534534534534598
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,939.53,47,19.99,3.4017008504252293
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,989.50,50,19.79,3.3855482566953095
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"3,800",190,20.0,3.3500000000000085
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,500,25,20.0,3.3500000000000085
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"2,000",100,20.0,3.3500000000000085
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"1,000",50,20.0,3.3500000000000085
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,500,25,20.0,3.3500000000000085
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,500,25,20.0,3.3500000000000085
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"2,000",100,20.0,3.3500000000000085
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,198,10,19.8,3.333333333333334
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"4,200",200,21.0,3.33333333333333
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"2,100",100,21.0,3.33333333333333
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,525,25,21.0,3.33333333333333
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,858,33,26.0,3.23076923076923
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,675,25,27.0,2.8518518518518503
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"1,647",61,27.0,2.8518518518518503
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"9,450",350,27.0,2.8518518518518503
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,112.45,5,22.49,2.8457092040907095
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,615,30,20.5,2.8292682926829187
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,102,5,20.4,2.794117647058825
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,232.50,10,23.25,2.666666666666671
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,761.25,35,21.75,2.620689655172415
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,780,39,20.0,2.400000000000002
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,"2,562.50",125,20.5,2.3902439024390167
Masterworks 015,Banksy,Monkey Poison,33.77,68.9%,03/31/22,"9,900",300,33.0,2.333333333333343
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"2,500",125,20.0,2.3000000000000043
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"19,500",975,20.0,2.3000000000000043
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"1,423.50",65,21.9,2.2374429223744388
Masterworks 047,George Condo,Listening to Voices,22.97,14.9%,03/31/22,225,10,22.5,2.0888888888888837
Masterworks 047,George Condo,Listening to Voices,22.97,14.9%,03/31/22,112.50,5,22.5,2.0888888888888837
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,240,10,24.0,2.083333333333333
Masterworks 011,Pierre Soulages,Peinture 102 x 130 cm,24.5,22.5%,03/31/22,216,9,24.0,2.083333333333333
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"2,531.25",125,20.25,2.0740740740740824
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,200",50,24.0,2.04166666666666
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"3,000",125,24.0,2.04166666666666
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"6,000",250,24.0,2.04166666666666
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,120,5,24.0,2.04166666666666
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,600,25,24.0,2.04166666666666
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,600,25,24.0,2.04166666666666
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"2,400",100,24.0,2.0000000000000018
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,120,5,24.0,2.0000000000000018
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"3,000",125,24.0,2.0000000000000018
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,"2,504.20",95,26.36,1.8209408194233705
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,"1,318",50,26.36,1.8209408194233705
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,527.20,20,26.36,1.8209408194233705
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,474.48,18,26.36,1.8209408194233705
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,110,5,22.0,1.7727272727272754
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"11,000",500,22.0,1.7727272727272754
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,220,10,22.0,1.7727272727272754
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"1,100",50,22.0,1.7727272727272754
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,220,10,22.0,1.7727272727272754
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,455,20,22.75,1.670329670329666
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,533.75,25,21.35,1.639344262295072
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,124.95,5,24.99,1.6006402561024498
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,622.50,30,20.75,1.590361445783124
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,235,10,23.5,1.5744680851063872
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"2,500",100,25.0,1.5600000000000023
Masterworks 044,Jean-Michel Basquiat,Mississippi,25.39,27.0%,03/31/22,"1,250",50,25.0,1.5600000000000023
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,100.90,5,20.18,1.4866204162537202
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,100.90,5,20.18,1.4866204162537202
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,100.90,5,20.18,1.4866204162537202
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,100.90,5,20.18,1.4866204162537202
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,100.90,5,20.18,1.4866204162537202
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,220,10,22.0,1.4545454545454557
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,550,25,22.0,1.4545454545454557
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,110,5,22.0,1.4545454545454557
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,132.45,5,26.49,1.3212533031332634
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,132.45,5,26.49,1.3212533031332634
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,394.80,20,19.74,1.3171225937183464
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,"4,140",200,20.7,1.3043478260869545
Masterworks 025,George Condo,Gargantua,26.84,34.2%,03/31/22,795,30,26.5,1.2830188679245278
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,088.55",45,24.19,1.2401818933443454
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,120.95,5,24.19,1.2401818933443454
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,101.20,5,20.24,1.1857707509881523
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,102.20,5,20.44,1.1252446183953053
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,102.25,5,20.45,1.0757946210269067
Masterworks 010,Sam Gilliam,Tracing,26.24,31.2%,03/31/22,129.95,5,25.99,0.9619084263178146
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,20.49,1,20.49,0.8784773060029443
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,102.45,5,20.49,0.8784773060029443
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,102.45,5,20.49,0.8784773060029443
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,205,10,20.5,0.8292682926829352
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,102.50,5,20.5,0.8292682926829352
Masterworks 028,Cecily Brown,There is a Land of Pure Delight,30.24,51.2%,03/31/22,"9,000",300,30.0,0.7999999999999948
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,103.95,5,20.79,0.7696007696007703
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,29.69,1,29.69,0.7409902324014781
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,508.25,25,20.33,0.7378258730939603
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,386.27,19,20.33,0.7378258730939603
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,101.80,5,20.36,0.5893909626719106
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,101.80,5,20.36,0.5893909626719106
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,101.80,5,20.36,0.5893909626719106
Masterworks 026,Barkley L. Hendricks,Selina/Star,34.2,71.0%,03/31/22,"4,250",125,34.0,0.5882352941176554
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"5,137.50",250,20.55,0.5839416058394209
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,575,25,23.0,0.5652173913043435
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,230,10,23.0,0.5652173913043435
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,207,9,23.0,0.5652173913043435
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,230,10,23.0,0.5652173913043435
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"11,500",500,23.0,0.5652173913043435
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,230,10,23.0,0.5652173913043435
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"9,338",406,23.0,0.5652173913043435
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,230,10,23.0,0.5652173913043435
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,111.45,5,22.29,0.4486316733961482
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"2,006.10",90,22.29,0.4486316733961482
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,101.95,5,20.39,0.44139283962726755
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,101.95,5,20.39,0.44139283962726755
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,612,30,20.4,0.39215686274510714
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,816,40,20.4,0.39215686274510714
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,420,20,21.0,0.3809523809523728
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,"4,725",225,21.0,0.3809523809523728
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,118.95,5,23.79,0.33627574611181943
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,"8,788.75",395,22.25,0.314606741573035
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.45,5,20.89,0.28721876495930454
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.45,5,20.89,0.28721876495930454
Masterworks 043,Keith Haring,Untitled,19.77,-1.2%,03/31/22,276.36,14,19.74,0.15197568389058327
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.65,5,20.93,0.0955566172957457
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,559.72,28,19.99,0.05002501250626095
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,199.90,10,19.99,0.05002501250626095
Masterworks 066,Adrian Ghenie,Antelope Attacked Near Gas Pipe,20.0,0,0,999.50,50,19.99,0.05002501250626095
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"4,090",200,20.45,0.048899755501230144
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.70,5,20.94,0.04775549188155687
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,612.25,25,24.49,0.0
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.75,5,20.95,0.0
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,612.25,25,24.49,0.0
Masterworks 055,Agnes Martin,Untitled #12,20.0,0,0,"1,000",50,20.0,0.0
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"12,918.75",625,20.67,0.0
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,104.95,5,20.99,0.0
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,104.95,5,20.99,0.0
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"6,122.50",250,24.49,0.0
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"1,225",50,24.5,-0.040816326530618625
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"2,240",100,22.4,-0.04464285714284826
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,630,30,21.0,-0.04761904761905506
Masterworks 027,Pierre Soulages,Peinture 181 x 91 cm,20.99,5.0%,03/31/22,"1,890",90,21.0,-0.04761904761905506
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"2,400",100,24.0,-0.08333333333333157
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,888,37,24.0,-0.08333333333333157
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"3,000",125,24.0,-0.08333333333333157
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,120,5,24.0,-0.08333333333333157
Masterworks 041,Gerhard Richter,Ziege,23.98,19.9%,03/31/22,"2,400",100,24.0,-0.08333333333333157
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,115.75,5,23.15,-0.08639308855291393
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,104.95,5,20.99,-0.09528346831824476
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,314.85,15,20.99,-0.09528346831824476
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,102.50,5,20.5,-0.09756097560975402
Masterworks 013,Kaws,Companion (Detail of Crowd Shot),20.48,2.4%,03/31/22,820,40,20.5,-0.09756097560975402
Masterworks 047,George Condo,Listening to Voices,22.97,14.9%,03/31/22,575,25,23.0,-0.1304347826087006
Masterworks 005,Alex Katz,Maxine,20.97,4.9%,03/31/22,"1,050",50,21.0,-0.1428571428571483
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.90,5,20.98,-0.14299332697807976
Masterworks 009,Gunther Forg,Untitled,26.46,32.3%,03/31/22,662.50,25,26.5,-0.15094339622641187
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,198.50,10,19.85,-0.15113350125945157
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.95,5,20.99,-0.19056693663648952
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,104.95,5,20.99,-0.19056693663648952
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"1,025",50,20.5,-0.19512195121950804
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,512.50,25,20.5,-0.19512195121950804
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"1,537.50",75,20.5,-0.19512195121950804
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,"1,365",65,21.0,-0.2380952380952415
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,105,5,21.0,-0.2380952380952415
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,"1,050",50,21.0,-0.2380952380952415
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,"1,026",50,20.52,-0.2923976608187072
Masterworks 022,Cecily Brown,Lured,29.91,49.6%,03/31/22,"7,500",250,30.0,-0.29999999999999954
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"3,369",150,22.46,-0.311665182546751
Masterworks 019,Zao Wou-Ki,15.6.64,19.78,-1.1%,03/31/22,198.50,10,19.85,-0.35264483627204174
Masterworks 040,Adrian Ghenie,Lidless Eyes,19.73,-1.4%,03/31/22,495,25,19.8,-0.3535353535353549
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"2,075",100,20.75,-0.3855421686746906
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,112.45,5,22.49,-0.44464206313916355
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"1,125",50,22.5,-0.4888888888888864
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,581.25,25,23.25,-0.5161290322580687
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,240,10,24.0,-0.5416666666666625
Masterworks 049,Chu Teh-Chun,Printemps Hivernal ,19.79,-1.1%,03/31/22,199,10,19.9,-0.5527638190954746
Masterworks 049,Chu Teh-Chun,Printemps Hivernal ,19.79,-1.1%,03/31/22,99.50,5,19.9,-0.5527638190954746
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,152.88,7,21.84,-0.6410256410256436
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,109.30,5,21.86,-0.7319304666056731
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,112.50,5,22.5,-0.7999999999999988
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,"11,250",500,22.5,-0.7999999999999988
Masterworks 048,Gunther Forg,Untitled,22.32,11.6%,03/31/22,225,10,22.5,-0.7999999999999988
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,105.60,5,21.12,-0.8049242424242504
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,"4,200",150,28.0,-0.821428571428573
Masterworks 030,Jean-Michel Basquiat,Loin,27.77,38.9%,03/31/22,28,1,28.0,-0.821428571428573
Masterworks 026,Barkley L. Hendricks,Selina/Star,34.2,71.0%,03/31/22,"3,450",100,34.5,-0.869565217391296
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,370.65,15,24.71,-0.8903278025091154
Masterworks 008,Kaws,Far Away Friends,20.95,4.8%,03/31/22,"4,270.28",202,21.14,-0.8987701040681233
Masterworks 056,Yayoi Kusama,Untitled,19.82,-0.9%,03/31/22,"2,060",103,20.0,-0.8999999999999986
Masterworks 049,Chu Teh-Chun,Printemps Hivernal ,19.79,-1.1%,03/31/22,"4,900",245,20.0,-1.0500000000000043
Masterworks 035,Alex Katz,Grey Ribbon,19.69,-1.6%,03/31/22,497.50,25,19.9,-1.055276381909534
Masterworks 019,Zao Wou-Ki,15.6.64,19.78,-1.1%,03/31/22,200,10,20.0,-1.0999999999999943
Masterworks 043,Keith Haring,Untitled,19.77,-1.2%,03/31/22,"2,000",100,20.0,-1.1500000000000021
Masterworks 004,Jonas Wood,Hammer 5,21.08,5.4%,03/31/22,106.70,5,21.34,-1.2183692596063804
Masterworks 040,Adrian Ghenie,Lidless Eyes,19.73,-1.4%,03/31/22,"9,995",500,19.99,-1.3006503251625714
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,860,43,20.0,-1.3499999999999979
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,220,10,22.0,-1.3636363636363669
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"5,500",250,22.0,-1.3636363636363669
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,550,25,22.0,-1.3636363636363669
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"1,100",50,22.0,-1.3636363636363669
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,"4,400",200,22.0,-1.3636363636363669
Masterworks 018,Keith Haring,Untitled,21.7,8.5%,03/31/22,110,5,22.0,-1.3636363636363669
Masterworks 035,Alex Katz,Grey Ribbon,19.69,-1.6%,03/31/22,500,25,20.0,-1.5499999999999936
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,210,10,21.0,-1.5714285714285632
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,315,15,21.0,-1.5714285714285632
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,210,10,21.0,-1.5714285714285632
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"4,704",224,21.0,-1.5714285714285632
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"5,250",250,21.0,-1.5714285714285632
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,105,5,21.0,-1.5714285714285632
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,"1,050",50,21.0,-1.5714285714285632
Masterworks 021,Agnes Martin,Untitled #1,23.13,15.7%,03/31/22,"5,875",250,23.5,-1.5744680851063872
Masterworks 009,Gunther Forg,Untitled,26.46,32.3%,03/31/22,672.50,25,26.9,-1.6356877323419992
Masterworks 037,Keith Haring,Untitled,19.73,-1.4%,03/31/22,"4,020",200,20.1,-1.8407960199005022
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,"2,000",100,20.0,-1.8500000000000052
Masterworks 024,Christopher Wool,Lazy and Stupid,19.63,-1.9%,03/31/22,"2,500",125,20.0,-1.8500000000000052
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"2,043",90,22.7,-1.8502202643171726
Masterworks 006,Jean-Michel Basquiat,The Mosque,20.46,2.3%,03/31/22,104.25,5,20.85,-1.8705035971223047
