Investment Name,Artist,Artwork,Est. NAV Per Share,Implied Gross Change,Last Appraisal Date,Total,Quantity,Ask,Variation %
Masterworks 051,Sam Gilliam,Reaching,19.79,-1.1%,03/31/22,310,5,62.0,-68.08064516129032
Masterworks 029,George Condo,The Age of Reason,22.39,12.0%,03/31/22,"18,000",250,72.0,-68.90277777777779
Masterworks 014,Joan Mitchell,Rhubarb,24.49,22.5%,03/31/22,"2,000",25,80.0,-69.3875
Masterworks 001,Andy Warhol,1 Colored Marilyn (Reversal Series),17.37,-13.2%,03/31/22,285,5,57.0,-69.52631578947368
Masterworks 046,Carmen Herrera,Green and Orange,19.82,-0.9%,03/31/22,335,5,67.0,-70.41791044776119
Masterworks 051,Sam Gilliam,Reaching,19.79,-1.1%,03/31/22,335,5,67.0,-70.46268656716418
Masterworks 034,Christopher Wool,Untitled (S77),19.67,-1.7%,03/31/22,"16,000",200,80.0,-75.4125
Masterworks 042,Jean-Michel Basquiat,Dark Milk,24.48,22.4%,03/31/22,"3,000",30,100.0,-75.52
Masterworks 031,Gunther Uecker,Weisses Feld,23.87,19.4%,03/31/22,"2,500",25,100.0,-76.13
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"50,000",500,100.0,-77.72
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,300,3,100.0,-77.72
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"1,000",10,100.0,-77.72
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,"2,600",26,100.0,-77.72
Masterworks 002,Claude Monet,Coup de vent,22.28,11.4%,03/31/22,500,5,100.0,-77.72
Masterworks 038,Yayoi Kusama,Pumpkin,21.74,8.7%,03/31/22,"2,500",25,100.0,-78.26
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,500,5,100.0,-79.33
Masterworks 017,Andy Warhol,Little Electric Chair,20.67,3.4%,03/31/22,500,5,100.0,-79.33
Masterworks 033,Lucio Fontana,Concetto Spaziale,20.22,1.1%,03/31/22,"2,500",25,100.0,-79.78
