Artist,Artwork,Investment Name,Total,Quantity,Ask
 Sam Gilliam,Tracing ,Masterworks 010,135,5,27
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,175,5,35
 Yayoi Kusama,Pumpkin ,Masterworks 038,"2,500",25,100
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,562.50,25,22.50
 Yayoi Kusama,Untitled ,Masterworks 056,250,10,25
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,"1,540",77,20
 Claude Monet,Coup de vent ,Masterworks 002,160,5,32
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,575,25,23
 Gerhard Richter,Ziege ,Masterworks 041,250,10,25
 Alex Katz,Grey Ribbon ,Masterworks 035,"1,260",60,21
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,160,5,32
 Keith Haring,Untitled ,Masterworks 018,"2,250",75,30
 Kazuo Shiraga,Kosha ,Masterworks 050,220,10,22
 Gunther Forg,Untitled ,Masterworks 048,"8,788.75",395,22.25
 Keith Haring,Untitled ,Masterworks 018,"4,200",200,21
 George Condo,The Age of Reason ,Masterworks 029,"1,125",50,22.50
 Agnes Martin,Untitled #1 ,Masterworks 021,581.25,25,23.25
 Sam Gilliam,Through ,Masterworks 057,250,5,50
 Sam Gilliam,Through ,Masterworks 057,352.50,15,23.50
 Sam Gilliam,Through ,Masterworks 057,390,15,26
 Sam Gilliam,Through ,Masterworks 057,638,22,29
 Sam Gilliam,Through ,Masterworks 057,350,14,25
 Sam Gilliam,Through ,Masterworks 057,288,12,24
 George Condo,The Age of Reason ,Masterworks 029,"7,500",250,30
 Joan Mitchell,Rhubarb ,Masterworks 014,"5,250",175,30
 Chu Teh-Chun,Printemps Hivernal  ,Masterworks 049,"1,750",50,35
 Sam Gilliam,Through ,Masterworks 057,240,10,24
 George Condo,The Age of Reason ,Masterworks 029,"1,100",50,22
 Yayoi Kusama,Pumpkin ,Masterworks 038,625,25,25
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,215,10,21.50
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,217.50,10,21.75
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,748.65,35,21.39
 Kaws,Far Away Friends ,Masterworks 008,"1,033.20",45,22.96
 Banksy,Monkey Poison ,Masterworks 015,"2,244",50,44.88
 Kazuo Shiraga,Kosha ,Masterworks 050,110,5,22
 Mark Bradford,Value 47 ,Masterworks 039,248.50,5,49.70
 Alex Katz,Grey Ribbon ,Masterworks 035,248.50,5,49.70
 Agnes Martin,Untitled #1 ,Masterworks 021,248.50,5,49.70
 Joan Mitchell,Rhubarb ,Masterworks 014,248.50,5,49.70
 Cecily Brown,Girl Trouble ,Masterworks 007,750,25,30
 Andy Warhol,Little Electric Chair ,Masterworks 017,"5,250",250,21
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"5,145",245,21
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,110,5,22
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,210,10,21
 Carmen Herrera,Green and Orange ,Masterworks 046,625,25,25
 Cecily Brown,Lured ,Masterworks 022,29.69,1,29.69
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,"45,600","2,280",20
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,449",63,23
 Banksy,Monkey Poison ,Masterworks 015,"9,900",100,99
 Gunther Forg,Untitled ,Masterworks 023,527.50,25,21.10
 Sam Gilliam,Reaching ,Masterworks 051,280,5,56
 Gunther Forg,Untitled ,Masterworks 048,112.50,5,22.50
 Jean-Michel Basquiat,Loin ,Masterworks 030,"1,149.50",50,22.99
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,220,10,22
 Keith Haring,Untitled ,Masterworks 037,230,10,23
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,345,15,23
 Alex Katz,Maxine ,Masterworks 005,230,10,23
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,"3,000",30,100
 Gerhard Richter,Ziege ,Masterworks 041,"4,200",150,28
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,"4,200",150,28
 Yayoi Kusama,Pumpkin ,Masterworks 038,"4,200",150,28
 Gunther Forg,Untitled ,Masterworks 048,225,10,22.50
 Gunther Forg,Untitled ,Masterworks 048,290,5,58
 Sam Gilliam,Reaching ,Masterworks 051,310,5,62
 Jean-Michel Basquiat,Loin ,Masterworks 030,625,25,25
 Joan Mitchell,Rhubarb ,Masterworks 014,625,25,25
 Yayoi Kusama,Untitled ,Masterworks 056,250,10,25
 Banksy,Monkey Poison ,Masterworks 015,975,5,195
 Jean-Michel Basquiat,Dark Milk ,Masterworks 042,"2,500",100,25
 Carmen Herrera,Green and Orange ,Masterworks 046,335,5,67
 Gunther Forg,Untitled ,Masterworks 048,325,5,65
 Sam Gilliam,Reaching ,Masterworks 051,335,5,67
 Yayoi Kusama,Untitled ,Masterworks 056,210,10,21
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,220,10,22
 Banksy,Monkey Poison ,Masterworks 015,245,5,49
 George Condo,Gargantua ,Masterworks 025,139.50,5,27.90
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,189.60,8,23.70
 Jean-Michel Basquiat,Mississippi ,Masterworks 044,"8,000",400,20
