Artist,Artwork,Investment Name,Total,Quantity,Ask
 Gerhard Richter,Ziege ,Masterworks 041,220,10,22
 Keith Haring,Untitled ,Masterworks 043,220,10,22
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,137.50,5,27.50
 Cecily Brown,Lured ,Masterworks 022,"1,650",50,33
 George Condo,Gargantua ,Masterworks 025,"1,650",50,33
 Keith Haring,Untitled ,Masterworks 037,"10,000",250,40
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"10,000",250,40
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,625,25,25
 Agnes Martin,Untitled #1 ,Masterworks 021,135,5,27
 Andy Warhol,Little Electric Chair ,Masterworks 017,112.50,5,22.50
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,612.50,25,24.50
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,597.50,25,23.90
 Banksy,Monkey Poison ,Masterworks 015,400,5,80
 Banksy,Monkey Poison ,Masterworks 015,350,5,70
 Banksy,Monkey Poison ,Masterworks 015,300,5,60
 Gunther Forg,Untitled ,Masterworks 023,110,5,22
 Gunther Forg,Untitled ,Masterworks 023,220,10,22
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,"2,150",100,21.50
 Keith Haring,Untitled ,Masterworks 018,"3,069",150,20.46
 Jonas Wood,Hammer 5 ,Masterworks 004,550,25,22
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"2,100",100,21
 Andy Warhol,Little Electric Chair ,Masterworks 017,110,5,22
 Joan Mitchell,Rhubarb ,Masterworks 014,"2,300",100,23
 Andy Warhol,Little Electric Chair ,Masterworks 017,500,25,20
 Joan Mitchell,Rhubarb ,Masterworks 014,251,10,25.10
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,"2,500",25,100
 Gunther Uecker,Weisses Feld ,Masterworks 031,"2,500",25,100
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,"3,750",150,25
 Christopher Wool,Untitled (S77) ,Masterworks 034,808,40,20.20
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"25,000","1,000",25
 Alex Katz,Grey Ribbon ,Masterworks 035,575,25,23
 Agnes Martin,Untitled #1 ,Masterworks 021,"9,990",10,999
 Keith Haring,Untitled ,Masterworks 018,"9,990",10,999
 Claude Monet,Coup de vent ,Masterworks 002,350,10,35
 Keith Haring,Untitled ,Masterworks 018,208,10,20.80
 Agnes Martin,Untitled #1 ,Masterworks 021,230,10,23
 Kaws,Far Away Friends ,Masterworks 008,"4,270.28",202,21.14
 Andy Warhol,Little Electric Chair ,Masterworks 017,600,20,30
 Andy Warhol,Little Electric Chair ,Masterworks 017,500,25,20
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,499.90,10,49.99
 Gunther Forg,Untitled ,Masterworks 048,"11,250",500,22.50
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,210,10,21
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"3,125",125,25
 Agnes Martin,Untitled #1 ,Masterworks 021,"5,000",5,"1,000"
 Christopher Wool,Untitled (S77) ,Masterworks 034,630,30,21
 Adrian Ghenie,Lidless Eyes ,Masterworks 040,"1,250",50,25
 Alex Katz,Grey Ribbon ,Masterworks 035,750,25,30
 Kaws,Far Away Friends ,Masterworks 008,600,20,30
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"2,200",100,22
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,140,5,28
 Joan Mitchell,Rhubarb ,Masterworks 014,140.04,6,23.34
 Joan Mitchell,Rhubarb ,Masterworks 014,276,12,23
 Joan Mitchell,Rhubarb ,Masterworks 014,120,5,24
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,288,12,24
 Yayoi Kusama,Pumpkin ,Masterworks 038,"1,800",75,24
 Yayoi Kusama,Pumpkin ,Masterworks 038,150,5,30
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"3,750",150,25
 Kaws,Far Away Friends ,Masterworks 008,"3,750",150,25
 Claude Monet,Coup de vent ,Masterworks 002,"1,250",5,250
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"25,000",5,"5,000"
 Banksy,Monkey Poison ,Masterworks 015,"3,000,000",10,"300,000"
 Jean-Michel Basquiat,Loin ,Masterworks 030,"1,200",50,24
 George Condo,The Age of Reason ,Masterworks 029,750,30,25
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,625,25,25
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,315,15,21
 Joan Mitchell,Rhubarb ,Masterworks 014,"3,250",125,26
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,650,25,26
 Mark Bradford,Value 47 ,Masterworks 039,360,15,24
 Christopher Wool,Untitled (S77) ,Masterworks 034,230,10,23
 Gunther Uecker,Weisses Feld ,Masterworks 031,240,10,24
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,230,10,23
 Agnes Martin,Untitled #1 ,Masterworks 021,"2,400",100,24
 Claude Monet,Coup de vent ,Masterworks 002,"50,000",500,100
 Christopher Wool,Lazy and Stupid ,Masterworks 024,"1,005",50,20.10
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,250",50,25
 Kaws,Far Away Friends ,Masterworks 008,"6,000",150,40
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,147,7,21
 Alex Katz,Grey Ribbon ,Masterworks 035,456,19,24
 Claude Monet,Coup de vent ,Masterworks 002,750,25,30
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,113",50,22.26
 Keith Haring,Untitled ,Masterworks 018,"1,035",50,20.70
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,345,15,23
 Jean-Michel Basquiat,Loin ,Masterworks 030,345,15,23
 Agnes Martin,Untitled #1 ,Masterworks 021,207,9,23
 Andy Warhol,Little Electric Chair ,Masterworks 017,345,15,23
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,230,10,23
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,345,15,23
 Jonas Wood,Hammer 5 ,Masterworks 004,230,10,23
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,350,10,35
 Kaws,Far Away Friends ,Masterworks 008,"3,125",125,25
 Alex Katz,Maxine ,Masterworks 005,162.40,7,23.20
 Keith Haring,Untitled ,Masterworks 018,152.88,7,21.84
 Jean-Michel Basquiat,Loin ,Masterworks 030,200,5,40
 Keith Haring,Untitled ,Masterworks 018,"1,100",50,22
 Keith Haring,Untitled ,Masterworks 018,103.50,5,20.70
 Keith Haring,Untitled ,Masterworks 018,109.30,5,21.86
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"1,000",20,50
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"10,000",250,40
 Sam Gilliam,Tracing ,Masterworks 010,250,5,50
 Keith Haring,Untitled ,Masterworks 018,533.75,25,21.35
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"1,062.50",50,21.25
 Christopher Wool,Lazy and Stupid ,Masterworks 024,"1,567.50",75,20.90
 Alex Katz,Grey Ribbon ,Masterworks 035,240,10,24
 Alex Katz,Grey Ribbon ,Masterworks 035,120,5,24
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,750,25,30
 Joan Mitchell,Rhubarb ,Masterworks 014,"4,050",150,27
 Sam Gilliam,Tracing ,Masterworks 010,140,5,28
 Andy Warhol,Little Electric Chair ,Masterworks 017,110,5,22
 Gunther Forg,Untitled ,Masterworks 023,192,8,24
 Kaws,Far Away Friends ,Masterworks 008,125,5,25
 Keith Haring,Untitled ,Masterworks 018,250,5,50
 Agnes Martin,Untitled #1 ,Masterworks 021,250,10,25
 Kaws,Far Away Friends ,Masterworks 008,215,10,21.50
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,200,5,40
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"2,200",100,22
 Gunther Forg,Untitled ,Masterworks 009,"7,000",250,28
 Christopher Wool,Lazy and Stupid ,Masterworks 024,"2,500",100,25
 Claude Monet,Coup de vent ,Masterworks 002,300,3,100
 Agnes Martin,Untitled #1 ,Masterworks 021,575,25,23
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,"1,875",75,25
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"2,800",100,28
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,125,5,25
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"1,000",20,50
 Agnes Martin,Untitled #1 ,Masterworks 021,"1,300",50,26
 Keith Haring,Untitled ,Masterworks 018,"1,300",50,26
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,300",50,26
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,"1,300",50,26
 Lucio Fontana,"Concetto Spaziale, Attesa ",Masterworks 033,625,25,25
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"5,500",250,22
 Mark Bradford,Value 47 ,Masterworks 039,440,20,22
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,150",50,23
 Jean-Michel Basquiat,Untitled (Bracco di Ferro) ,Masterworks 036,"10,000",250,40
 Alex Katz,Maxine ,Masterworks 005,550,25,22
 Christopher Wool,Untitled (S77) ,Masterworks 034,220,10,22
 Andy Warhol,Little Electric Chair ,Masterworks 017,"3,800",190,20
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"1,137.50",50,22.75
 Claude Monet,Coup de vent ,Masterworks 002,"1,275",50,25.50
 Cecily Brown,Girl Trouble ,Masterworks 007,"1,700",50,34
 Gunther Forg,Untitled ,Masterworks 023,"1,150",50,23
 Jean-Michel Basquiat,Loin ,Masterworks 030,"12,500",500,25
 Cecily Brown,There is a Land of Pure Delight ,Masterworks 028,"1,700",68,25
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,105,5,21
 Jean-Michel Basquiat,Loin ,Masterworks 030,"7,804.03",347,22.49
 Andy Warhol,Little Electric Chair ,Masterworks 017,500,20,25
 Agnes Martin,Untitled #1 ,Masterworks 021,"1,008",42,24
 Claude Monet,Coup de vent ,Masterworks 002,750,25,30
 Keith Haring,Untitled ,Masterworks 018,220,10,22
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"1,000",20,50
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"1,000",20,50
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,000",20,50
 Cecily Brown,Girl Trouble ,Masterworks 007,"3,750",125,30
 Gunther Uecker,Weisses Feld ,Masterworks 031,687.50,25,27.50
 Joan Mitchell,Rhubarb ,Masterworks 014,"2,000",25,80
 Jean-Michel Basquiat,Loin ,Masterworks 030,375,15,25
 George Condo,The Age of Reason ,Masterworks 029,625,25,25
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,625,25,25
 Christopher Wool,Lazy and Stupid ,Masterworks 024,375,15,25
 Gunther Forg,Untitled ,Masterworks 023,375,15,25
 Agnes Martin,Untitled #1 ,Masterworks 021,375,15,25
 Gunther Forg,Untitled ,Masterworks 020,375,15,25
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"1,250",50,25
 Keith Haring,Untitled ,Masterworks 018,625,25,25
 Andy Warhol,Little Electric Chair ,Masterworks 017,625,25,25
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,250",50,25
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,375,15,25
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,625,25,25
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"2,500",100,25
 Jonas Wood,Hammer 5 ,Masterworks 004,625,25,25
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,450",29,50
 Andy Warhol,Little Electric Chair ,Masterworks 017,"3,000",100,30
 Andy Warhol,Little Electric Chair ,Masterworks 017,"2,075",100,20.75
 Christopher Wool,Untitled (S77) ,Masterworks 034,110,5,22
 Jonas Wood,Hammer 5 ,Masterworks 004,"10,890",495,22
 Claude Monet,Coup de vent ,Masterworks 002,"3,663",111,33
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,220,10,22
 Jean-Michel Basquiat,Loin ,Masterworks 030,250,10,25
 Andy Warhol,Little Electric Chair ,Masterworks 017,"2,200",100,22
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,100",50,22
 Andy Warhol,Little Electric Chair ,Masterworks 017,"5,000",125,40
 George Condo,The Age of Reason ,Masterworks 029,"5,000",125,40
 Claude Monet,Coup de vent ,Masterworks 002,"4,800",8,600
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"13,500",3,"4,500"
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"2,200",100,22
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,470,20,23.50
 Christopher Wool,Untitled (S77) ,Masterworks 034,"16,000",200,80
 George Condo,The Age of Reason ,Masterworks 029,"18,000",250,72
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,250",50,25
 George Condo,The Age of Reason ,Masterworks 029,"1,000",25,40
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,960,40,24
 Agnes Martin,Untitled #1 ,Masterworks 021,"14,000",500,28
 Christopher Wool,Untitled (S77) ,Masterworks 034,"3,125",125,25
 Cecily Brown,Girl Trouble ,Masterworks 007,750,25,30
 Christopher Wool,Untitled (S77) ,Masterworks 034,"1,575",75,21
 Christopher Wool,Untitled (S77) ,Masterworks 034,220,10,22
 Jean-Michel Basquiat,Loin ,Masterworks 030,"15,000",200,75
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,235,10,23.50
 George Condo,The Age of Reason ,Masterworks 029,"2,500",100,25
 Jean-Michel Basquiat,Loin ,Masterworks 030,243,10,24.30
 Agnes Martin,Untitled #1 ,Masterworks 021,625,25,25
 Andy Warhol,Little Electric Chair ,Masterworks 017,999,50,19.98
 Gunther Forg,Untitled ,Masterworks 023,"1,056",50,21.12
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,056",50,21.12
 Andy Warhol,Little Electric Chair ,Masterworks 017,"4,704",224,21
 Andy Warhol,Little Electric Chair ,Masterworks 017,210,10,21
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,200,8,25
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,"2,727",101,27
 Andy Warhol,Little Electric Chair ,Masterworks 017,320,8,40
 Joan Mitchell,Rhubarb ,Masterworks 014,280,7,40
 Christopher Wool,Lazy and Stupid ,Masterworks 024,502.50,25,20.10
 Jean-Michel Basquiat,Loin ,Masterworks 030,575,25,23
 Jean-Michel Basquiat,Loin ,Masterworks 030,235,10,23.50
 Agnes Martin,Untitled #1 ,Masterworks 021,"3,125",125,25
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,600,25,24
 Andy Warhol,Little Electric Chair ,Masterworks 017,110,5,22
 Cecily Brown,There is a Land of Pure Delight ,Masterworks 028,910,35,26
 Cecily Brown,Lured ,Masterworks 022,"7,500",250,30
 Joan Mitchell,Rhubarb ,Masterworks 014,"7,700",275,28
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"4,800",200,24
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"12,500",500,25
 Cecily Brown,There is a Land of Pure Delight ,Masterworks 028,"4,455",165,27
 Keith Haring,Untitled ,Masterworks 018,625,25,25
 Gunther Forg,Untitled ,Masterworks 023,"1,250",50,25
 Sam Gilliam,Tracing ,Masterworks 010,"15,000",500,30
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"7,500",300,25
 Alex Katz,Maxine ,Masterworks 005,125,5,25
 Andy Warhol,Little Electric Chair ,Masterworks 017,"2,000",100,20
 Agnes Martin,Untitled #1 ,Masterworks 021,230,10,23
 Keith Haring,Untitled ,Masterworks 018,"4,400",200,22
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,"1,890",90,21
 Keith Haring,Untitled ,Masterworks 018,150,5,30
 Keith Haring,Untitled ,Masterworks 018,575,5,115
 Joan Mitchell,Rhubarb ,Masterworks 014,600,25,24
 Gunther Forg,Untitled ,Masterworks 023,"3,000",125,24
 Andy Warhol,Little Electric Chair ,Masterworks 017,"3,125",125,25
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"3,125",125,25
 Joan Mitchell,Rhubarb ,Masterworks 014,"1,200",50,24
 Joan Mitchell,Rhubarb ,Masterworks 014,625,25,25
 George Condo,The Age of Reason ,Masterworks 029,625,25,25
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,000",50,20
 Joan Mitchell,Rhubarb ,Masterworks 014,625,25,25
 Alex Katz,Maxine ,Masterworks 005,230,10,23
 Joan Mitchell,Rhubarb ,Masterworks 014,225,10,22.50
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,220,10,22
 Andy Warhol,Little Electric Chair ,Masterworks 017,"1,060.50",50,21.21
 Gunther Forg,Untitled ,Masterworks 023,225,10,22.50
 Andy Warhol,Little Electric Chair ,Masterworks 017,230,10,23
 Agnes Martin,Untitled #1 ,Masterworks 021,230,10,23
 George Condo,The Age of Reason ,Masterworks 029,230,10,23
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,450,10,45
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"6,250",250,25
 Gunther Forg,Untitled ,Masterworks 009,750,25,30
 Christopher Wool,Lazy and Stupid ,Masterworks 024,410,20,20.50
 Pierre Soulages,"Peinture 181 x 91 cm, 7 avril 2007 ",Masterworks 027,630,30,21
 Christopher Wool,Lazy and Stupid ,Masterworks 024,630,30,21
 Claude Monet,Coup de vent ,Masterworks 002,"1,000",10,100
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"2,222.20",20,111.11
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"2,400",100,24
 Joan Mitchell,Rhubarb ,Masterworks 014,660,30,22
 Christopher Wool,Lazy and Stupid ,Masterworks 024,"1,250",50,25
 Gunther Forg,Untitled ,Masterworks 020,375,15,25
 Zao Wou-Ki,15.6.64 ,Masterworks 019,150,5,30
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,135,5,27
 Cecily Brown,Girl Trouble ,Masterworks 007,165,5,33
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,360,15,24
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,245,10,24.50
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,125,5,25
 Gunther Forg,Untitled ,Masterworks 020,400,10,40
 Gunther Forg,Untitled ,Masterworks 020,450,15,30
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"1,600",40,40
 Joan Mitchell,Rhubarb ,Masterworks 014,125,5,25
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"19,500",975,20
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,820,40,20.50
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,816,40,20.40
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,612,30,20.40
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"5,250",250,21
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"12,500",500,25
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,485,20,24.25
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"1,100",50,22
 Kaws,Far Away Friends ,Masterworks 008,"1,300",50,26
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"1,040",40,26
 Alex Katz,Maxine ,Masterworks 005,"1,300",50,26
 Claude Monet,Coup de vent ,Masterworks 002,"1,300",50,26
 Gunther Forg,Untitled ,Masterworks 023,345,15,23
 Christopher Wool,Lazy and Stupid ,Masterworks 024,460,20,23
 Keith Haring,Untitled ,Masterworks 018,460,20,23
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,600,25,24
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,419.80,20,20.99
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"1,050",50,21
 Jonas Wood,Hammer 5 ,Masterworks 004,116.25,5,23.25
 Jonas Wood,Hammer 5 ,Masterworks 004,235,10,23.50
 Jonas Wood,Hammer 5 ,Masterworks 004,232.50,10,23.25
 Jonas Wood,Hammer 5 ,Masterworks 004,237.50,10,23.75
 Jonas Wood,Hammer 5 ,Masterworks 004,232.50,10,23.25
 Jonas Wood,Hammer 5 ,Masterworks 004,240,10,24
 Jonas Wood,Hammer 5 ,Masterworks 004,470,20,23.50
 Jonas Wood,Hammer 5 ,Masterworks 004,235,10,23.50
 Jonas Wood,Hammer 5 ,Masterworks 004,460,20,23
 Gunther Forg,Untitled ,Masterworks 020,460,20,23
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"1,150",50,23
 Claude Monet,Coup de vent ,Masterworks 002,"12,000",30,400
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,240,10,24
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,"75,000",5,"15,000"
 Sam Gilliam,Tracing ,Masterworks 010,"2,500",50,50
 Sam Gilliam,Tracing ,Masterworks 010,"1,500",50,30
 Andy Warhol,1 Colored Marilyn (Reversal Series) ,Masterworks 001,"7,282",331,22
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"3,300",100,33
 Alex Katz,Maxine ,Masterworks 005,550,25,22
 Gunther Forg,Untitled ,Masterworks 020,888,40,22.20
 Jean-Michel Basquiat,The Mosque ,Masterworks 006,636,30,21.20
 Gunther Forg,Untitled ,Masterworks 020,"1,050",25,42
 Pierre Soulages,"Peinture 102 x 130 cm, 11 Juin 2007 ",Masterworks 011,"1,050",25,42
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"1,175",25,47
 Kaws,Companion (Detail of Crowd Shot) ,Masterworks 013,"1,100",50,22
 Cecily Brown,Girl Trouble ,Masterworks 007,"1,750",50,35
 Kaws,Far Away Friends ,Masterworks 008,140,5,28
 Claude Monet,Coup de vent ,Masterworks 002,"10,000",250,40
 Zao Wou-Ki,15.6.64 ,Masterworks 019,"3,900",100,39
 Alex Katz,Maxine ,Masterworks 005,237.50,10,23.75
 Alex Katz,Maxine ,Masterworks 005,240,10,24
 Alex Katz,Maxine ,Masterworks 005,235,10,23.50
